Spot Price S0,European Price (Rs),LSM Ground Truth (Rs),LSM Std Error (Rs),Novel EEP-PINN (Rs),Premium e_theta (Rs),Absolute Error (Rs)
80.0,16.76,19.99,0.00,19.83,3.07,0.16
90.0,8.63,10.19,0.01,10.41,1.77,0.21
100.0,3.39,3.83,0.01,3.87,0.49,0.04
110.0,1.00,1.16,0.01,1.12,0.12,0.03
120.0,0.23,0.28,0.00,0.26,0.03,0.02

--- Summary Statistics ---
avg_lsm_latency_ms,203678.34
avg_eep_latency_ms,3.51
speedup_factor,58024.6x
max_diff_vs_lsm_rs,0.21
mean_absolute_diff_rs,0.09
