Spot Price S0,European Price (Rs),LSM Ground Truth (Rs),LSM Std Error (Rs),Novel EEP-PINN (Rs),Premium e_theta (Rs),Absolute Error (Rs)
80.0,16.61,19.96,0.00,19.79,3.19,0.17
90.0,8.71,10.18,0.01,10.22,1.51,0.03
100.0,3.61,4.01,0.02,4.01,0.40,0.00
110.0,1.18,1.29,0.01,1.33,0.15,0.04
120.0,0.31,0.34,0.00,0.40,0.09,0.06

--- Summary Statistics ---
avg_lsm_latency_ms,23297.30
avg_eep_latency_ms,3.32
speedup_factor,7016.6x
max_diff_vs_lsm_rs,0.17
mean_absolute_diff_rs,0.06
